PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
Christian McCaffrey,CAR,1,3,1.1,0.3
Dalvin Cook,MIN,1,6,2.1,0.5
Alvin Kamara,NO,2,8,3.5,0.9
Derrick Henry,TEN,1,12,5.3,2
Ezekiel Elliott,DAL,2,11,5.7,1.8
Saquon Barkley,NYG,2,22,6.1,2.2
Austin Ekeler,LAC,3,94,7.8,8.7
Aaron Jones,GB,4,14,8.1,1.9
Jonathan Taylor,IND,3,16,8.6,2.1
Nick Chubb,CLE,3,17,10.9,2
Joe Mixon,CIN,5,22,11.6,2.7
Antonio Gibson,WAS,6,21,11.7,2.4
Najee Harris,PIT,5,51,13.3,5.8
Clyde Edwards-Helaire,KC,5,210,14.3,3
D'Andre Swift,DET,6,39,15,3
Chris Carson,SEA,10,25,17.1,2.4
J.K. Dobbins,BAL,11,26,18,2.9
David Montgomery,CHI,11,28,18.1,2.8
Miles Sanders,PHI,12,27,18.6,2.7
Darrell Henderson,LAR,14,33,21.5,3.6
Josh Jacobs,LV,13,32,21.5,2.4
Myles Gaskin,MIA,16,40,21.8,3.1
Travis Etienne,JAC,9,57,23.1,6.1
Mike Davis,ATL,14,76,23.2,6.5
Kareem Hunt,CLE,17,31,24,2.6
Chase Edmonds,ARI,15,43,27.3,3.4
Javonte Williams,DEN,13,96,30.4,9.8
Melvin Gordon III,DEN,17,48,31.2,6
Raheem Mostert,SF,23,52,31.3,4.9
James Robinson,JAC,15,61,31.8,6
Damien Harris,NE,22,49,32.8,5
Ronald Jones II,TB,23,50,33.5,5
David Johnson,HOU,23,51,34.1,5.5
Leonard Fournette,TB,24,51,35.2,5
Michael Carter,NYJ,21,93,34.4,8.6
Zack Moss,BUF,26,53,36.7,5.7
Kenyan Drake,LV,21,49,37.3,4.4
James Conner,ARI,23,51,37.3,5.7
Nyheim Hines,IND,29,56,38.3,4.9
Trey Sermon,SF,17,98,37.4,10.8
Jamaal Williams,DET,25,53,41.9,4.5
Devin Singletary,BUF,24,56,42.2,4.8
Tony Pollard,DAL,28,56,42.8,4.5
Tarik Cohen,CHI,33,69,43.8,8.4
J.D. McKissic,WAS,29,59,43.9,6
AJ Dillon,GB,30,55,44.2,4.6
Latavius Murray,NO,26,57,45.2,3.9
Gus Edwards,BAL,32,90,46.3,5.4
James White,NE,26,63,47,6.8
Phillip Lindsay,HOU,37,65,48.7,5.1
Alexander Mattison,MIN,40,98,52.4,4.3
Tevin Coleman,NYJ,35,80,54.5,8.2
Rashaad Penny,SEA,24,79,54.9,6.5
Giovani Bernard,TB,36,90,54.4,7.1
Kenneth Gainwell,PHI,37,100,61,11.5
Darrel Williams,KC,46,97,63.7,10.3
Salvon Ahmed,MIA,43,105,59.2,8
Marlon Mack,IND,39,106,60.8,11
Sony Michel,NE,49,94,62.5,8.7
Damien Williams,CHI,51,109,67.3,9.7
Darrynton Evans,TEN,45,96,65.1,8
Joshua Kelley,LAC,50,89,66.6,6.9
Justin Jackson,LAC,44,89,67.9,7
Chuba Hubbard,CAR,45,101,68.2,11.7
Carlos Hyde,JAC,55,103,68.4,9.2
Malcolm Brown,MIA,42,86,70.3,8.4
Mark Ingram II,HOU,50,100,68.5,8.7
Benny Snell Jr.,PIT,48,102,67.6,10.7
Jerick McKinnon,KC,52,94,70.6,8
La'Mical Perine,NYJ,51,102,73.3,9
Boston Scott,PHI,42,96,67.8,8.4
Wayne Gallman,SF,49,101,75.9,9.4
Kerryon Johnson,PHI,51,118,73.7,10.2
Jeff Wilson Jr.,SF,45,130,72.5,16.3
Rhamondre Stevenson,NE,48,102,72.8,11.6
Matt Breida,BUF,53,110,74.4,9.3
Anthony McFarland Jr.,PIT,59,100,76.2,7.9
Ty Johnson,NYJ,44,106,76.4,12.1
Javian Hawkins,ATL,41,116,75.4,12.4
Devontae Booker,NYG,49,106,74.9,13.2
Ke'Shawn Vaughn,TB,48,122,78.2,13.7
Jalen Richard,LV,51,131,81.7,10.6
DeeJay Dallas,SEA,64,104,85,7.8
Samaje Perine,CIN,50,108,76.5,14.8
Rex Burkhead,HOU,54,144,85,10.3
Justice Hill,BAL,71,117,90.6,7.1
Kalen Ballage,PIT,60,104,87.1,8.1
Eno Benjamin,ARI,71,168,93,11.9
Le'Veon Bell,FA,40,110,80.9,14.7
Brian Hill,TEN,59,109,93.1,7.9
Jordan Howard,PHI,60,166,88.8,13.8
Todd Gurley II,FA,41,114,81.7,15.2
Duke Johnson Jr.,FA,49,113,84.6,12.6
Ito Smith,FA,61,115,84.9,11.6
Jordan Wilkins,IND,75,154,94.1,9.8
Adrian Peterson,FA,52,131,91.9,10.9
Jermar Jefferson,DET,62,117,90.8,10.6
Chris Thompson,FA,67,142,97.4,10.7
Peyton Barber,WAS,78,120,98.8,7.5
Xavier Jones,LAR,47,130,71.5,17.9
Larry Rountree III,LAC,48,117,89.1,16.9
Mike Boone,DEN,64,112,91.2,13
Elijah Mitchell,SF,57,186,88.8,22.2
Royce Freeman,DEN,77,133,98.3,10.6
Qadree Ollison,ATL,54,120,86.3,18
Chris Evans,CIN,57,124,89,16.7
Bryce Love,FA,73,156,91.5,13.6
Jake Funk,LAR,63,125,89.9,17.1
Dare Ogunbowale,JAC,72,161,104.1,16.8
Devine Ozigbo,JAC,83,162,103.8,17.3
Khalil Herbert,CHI,69,163,99.7,16.2
Kylin Hill,GB,72,148,93.1,14.8
Frank Gore,FA,89,126,102.1,7.8
Darwin Thompson,KC,78,125,105.2,11.8
Kene Nwangwu,MIN,86,153,105.8,15.2
LeSean McCoy,FA,88,163,106,14.6
Jaret Patterson,WAS,63,190,104.6,25.9
Gerrid Doaks,MIA,63,146,96.1,21.3
Travis Homer,SEA,68,137,105.8,14.5
Kyle Juszczyk,SF,64,133,95,19.7
Raymond Calais,LAR,58,159,106.8,20.8
Alex Collins,SEA,59,131,96.3,20.8
Gary Brightwell,NYG,85,183,115.2,21.6
Jaylen Samuels,PIT,72,142,113.4,19.1
Stevie Scott III,NO,79,132,107.9,13
Trayveon Williams,CIN,83,121,107,12.1
JaMycal Hasty,SF,55,164,116.4,22.4
Devonta Freeman,NO,75,131,108.2,11.7
Ty Montgomery,NO,87,125,104.8,13.6
Dion Lewis,FA,85,154,115,18.7
Pooka Williams Jr.,CIN,84,189,120.1,30.7
Ameer Abdullah,MIN,73,157,114.8,21.4
Trey Ragas,LV,91,169,123.3,21.1
Ryquell Armstead,FA,89,101,94.6,5
Jeremy McNichols,TEN,90,141,111.2,16.8
Patrick Ricard,BAL,82,128,113.8,8.9
Keith Smith,ATL,98,135,114.2,13.4
C.J. Ham,MIN,84,130,114.8,12.8
Alec Ingold,LV,83,132,117,8
Trenton Cannon,CAR,64,139,119,21
D'Onta Foreman,FA,102,145,120,19.3
DeAndre Washington,FA,95,154,122.8,19.1
T.J. Yeldon,FA,95,157,123,26.5
Corey Clement,NYG,60,158,135.7,14.8
Antonio Williams,BUF,93,169,124.8,26.4
Elijah McGuire,KC,107,180,141.5,27.8
J.J. Taylor,NE,73,173,132.8,34.9
Josh Adams,NYJ,119,150,137.6,10.7
Bo Scarbrough,FA,99,166,123.8,25.5
Theo Riddick,LV,134,142,138.4,3.3
D'Ernest Johnson,CLE,88,160,138.6,11.6
Reggie Bonnafon,CAR,122,171,139.6,17.8
Patrick Laird,MIA,96,161,140,15.4
Khari Blasingame,TEN,113,147,128.5,12.1
Rico Dowdle,DAL,129,173,144.6,15.2
Andy Janovich,CLE,109,149,132.5,14.6
Dwayne Washington,NO,126,153,145.4,9.8
Lynn Bowden Jr.,MIA,74,76,75,1
Tony Brooks-James,ATL,120,155,136.3,15.1
Dedrick Mills,DET,99,175,136.5,31.8
Rodney Smith,CAR,106,168,137.3,28.8
Jacques Patrick,CIN,79,191,138.8,40.9
Alex Armah,NO,92,158,124.7,26.9
Otis Anderson Jr.,LAR,85,170,129,34.8
John Kelly,CLE,135,151,146.5,6.7
Michael Burton,KC,97,149,130.3,23.6
Dexter Williams,GB,131,162,147,11
Jonathan Ward,ARI,102,186,147.8,34.6
Jakob Johnson,NE,103,161,136,24.3
Lamar Miller,WAS,103,188,161.8,15.5
Ty'Son Williams,BAL,142,167,154.3,11.8
Derek Watt,PIT,101,187,155.3,34
Austin Walter,NYJ,123,179,145.3,24.2
Caleb Huntley,ATL,101,143,122,21
Brenden Knox,DAL,115,172,147.3,23.9
Troymaine Pope,TB,111,167,147.7,25.9
Rakeem Boyd,FA,122,171,147.7,20.1
Taiwan Jones,BUF,129,177,148.7,20.5
C.J. Prosise,TB,140,159,149.7,7.8
Tony Jones Jr.,NO,123,194,150,31.4
Tre Harbison,CLE,96,183,151,39.1
Ryan Nall,CHI,134,182,152,21.4
Artavis Pierce,CHI,128,177,152.3,20
JaQuan Hardy,DAL,119,175,152.7,24.2
Buddy Howell,HOU,144,163,153.3,7.8
Mekhi Sargent,TEN,97,185,154,40.4
Sewo Olonilua,DAL,138,173,154,14.4
Scottie Phillips,HOU,128,186,155,23.9
Michael Warren II,DET,136,188,159.7,21.5
Reggie Gilliam,BUF,108,178,143,35
Ben Mason,BAL,121,185,162.3,29.3
Khalfani Muhammad,ARI,140,189,163.7,20
Jason Huntley,PHI,135,183,164,20.8
Brandon Bolden,NE,148,193,172.8,16.4
Jonathan Williams,WAS,144,196,165.3,22.2
Jordan Scarlett,MIA,139,193,166.3,22.1
Dontrell Hilliard,HOU,152,190,166.7,16.7
Elijhaa Penny,NYG,122,187,154.5,32.5
Alfred Morris,FA,146,197,169.3,21
Cullen Gillaspia,NYG,126,191,158.5,32.5
LeVante Bellamy,DEN,127,195,161,34
Darius Bradwell,LAC,125,203,164,39
Damarea Crockett,DEN,137,199,168,31
Adrian Killins Jr.,PHI,169,202,181,14.9
Tavien Feaster,ARI,145,198,171.5,26.5
Patrick Taylor Jr.,GB,147,205,176,29
Nate McCrary,BAL,170,207,184.3,16.2
Darius Anderson,IND,172,208,185,16.3
Johnny Stanton,CLE,159,206,182.5,23.5
Deon Jackson,IND,176,184,180,4
Spencer Brown,CAR,179,194,186.5,7.5
CJ Marable,CHI,178,201,189.5,11.5
Josh Johnson,SEA,184,196,190,6
Tory Carter,TEN,185,200,192.5,7.5
