PLAYER NAME,GAMES,BOOM,STARTER,BUST
Alvin Kamara,15,46.7,86.7,6.7
Josh Allen,16,43.8,62.5,6.3
Davante Adams,14,50,85.7,7.1
Kyler Murray,16,18.8,68.8,18.8
Aaron Rodgers,16,18.8,81.3,6.3
Stefon Diggs,16,31.3,81.3,0
Tyreek Hill,15,33.3,80,6.7
Deshaun Watson,16,25,62.5,6.3
Russell Wilson,16,18.8,62.5,18.8
Patrick Mahomes,15,33.3,66.7,6.7
Tom Brady,16,31.3,62.5,37.5
Lamar Jackson,15,6.7,66.7,13.3
Ryan Tannehill,16,18.8,50,25
Derrick Henry,16,37.5,75,12.5
Justin Herbert,15,20,60,13.3
Dalvin Cook,14,50,100,0
Kirk Cousins,16,12.5,56.3,18.8
Travis Kelce,15,60,93.3,6.7
D.K. Metcalf,16,18.8,50,18.8
Matt Ryan,16,6.3,37.5,37.5
Derek Carr,16,6.3,56.3,37.5
Mike Evans,16,18.8,56.3,31.3
DeAndre Hopkins,16,25,62.5,12.5
Aaron Jones,14,21.4,85.7,0
Calvin Ridley,15,26.7,73.3,13.3
Darren Waller,16,37.5,68.8,12.5
Ben Roethlisberger,15,6.7,33.3,46.7
Robert Woods,16,12.5,56.3,25
Allen Robinson II,16,18.8,50,12.5
Tyler Lockett,16,18.8,37.5,43.8
Jonathan Taylor,15,20,80,6.7
Justin Jefferson,16,25,62.5,37.5
JuJu Smith-Schuster,16,6.3,56.3,31.3
Matthew Stafford,16,6.3,25,50
David Montgomery,15,33.3,73.3,26.7
A.J. Brown,14,21.4,64.3,21.4
Baker Mayfield,16,12.5,25,62.5
Cam Newton,15,6.7,40,40
Jared Goff,15,0,33.3,46.7
Teddy Bridgewater,15,0,26.7,46.7
Adam Thielen,15,26.7,53.3,26.7
Philip Rivers,16,0,25,56.3
James Robinson,14,35.7,85.7,0
Kareem Hunt,16,6.3,56.3,18.8
Keenan Allen,14,14.3,71.4,21.4
Diontae Johnson,15,20,46.7,33.3
Nick Chubb,12,16.7,83.3,16.7
Chase Claypool,16,6.3,50,37.5
Terry McLaurin,15,6.7,60,20
Chris Godwin,12,0,75,16.7
Josh Jacobs,15,20,60,13.3
Amari Cooper,16,6.3,68.8,18.8
Brandin Cooks,15,26.7,46.7,20
Ezekiel Elliott,15,26.7,66.7,13.3
Cole Beasley,15,13.3,40,26.7
Marvin Jones Jr.,16,18.8,31.3,31.3
Robby Anderson,16,0,50,18.8
Cooper Kupp,15,6.7,53.3,26.7
Drew Brees,12,0,41.7,41.7
Leonard Fournette,13,7.7,30.8,46.2
Jarvis Landry,15,6.7,33.3,33.3
Marquise Brown,16,0,37.5,37.5
Curtis Samuel,15,0,46.7,40
CeeDee Lamb,16,6.3,50,18.8
Antonio Gibson,14,14.3,50,14.3
D.J. Moore,15,0,46.7,40
Carson Wentz,12,0,33.3,41.7
Mike Davis,15,13.3,40,13.3
Melvin Gordon III,15,13.3,66.7,33.3
Ronald Jones,14,14.3,57.1,14.3
J.D. McKissic,16,12.5,50,31.3
Nyheim Hines,16,18.8,43.8,37.5
Drew Lock,13,0,30.8,69.2
Daniel Jones,14,0,14.3,71.4
Chris Carson,12,16.7,58.3,8.3
Tee Higgins,16,6.3,43.8,31.3
Clyde Edwards-Helaire,13,15.4,61.5,15.4
Kenyan Drake,15,6.7,60,26.7
D'Andre Swift,13,15.4,61.5,15.4
Corey Davis,14,14.3,50,28.6
Tyler Boyd,15,6.7,46.7,33.3
Will Fuller V,11,18.2,72.7,9.1
J.K. Dobbins,15,6.7,53.3,33.3
Joe Burrow,10,0,30,30
Nelson Agholor,16,6.3,37.5,50
Brandon Aiyuk,12,16.7,58.3,25
James Conner,13,7.7,61.5,23.1
David Johnson,12,16.7,58.3,16.7
Emmanuel Sanders,14,0,42.9,28.6
Robert Tonyan,16,12.5,50,31.3
Logan Thomas,16,12.5,56.3,37.5
Russell Gage,16,0,37.5,43.8
T.J. Hockenson,16,6.3,50,31.3
Michael Gallup,16,6.3,18.8,50
Jason Sanders,16,25,68.8,25
Gardner Minshew,9,0,55.6,22.2
Miles Sanders,12,16.7,66.7,16.7
Mark Andrews,14,35.7,57.1,42.9
Myles Gaskin,10,10,80,0
Marquez Valdes-Scantling,16,6.3,31.3,68.8
Younghoe Koo,15,26.7,73.3,13.3
Chase Edmonds,16,6.3,43.8,37.5
T.Y. Hilton,15,13.3,26.7,53.3
DeVante Parker,14,0,42.9,35.7
Jamison Crowder,12,0,41.7,33.3
Austin Ekeler,10,10,70,10
Devin Singletary,16,0,37.5,37.5
Mitchell Trubisky,9,0,44.4,55.6
Todd Gurley II,15,13.3,53.3,40
Tim Patrick,15,0,33.3,46.7
Sterling Shepard,12,8.3,41.7,33.3
Giovani Bernard,16,6.3,31.3,50
Mike Gesicki,15,13.3,26.7,46.7
Laviska Shenault Jr.,14,0,42.9,35.7
Tyler Bass,16,18.8,50,25
Jerry Jeudy,16,0,18.8,43.8
Daniel Carlson,16,6.3,68.8,18.8
Ryan Fitzpatrick,7,14.3,42.9,14.3
Mike Williams,15,6.7,26.7,53.3
D.J. Chark Jr.,13,15.4,23.1,46.2
Greg Zuerlein,16,25,56.3,37.5
Darnell Mooney,16,0,18.8,62.5
Mecole Hardman,16,0,12.5,75
Rodrigo Blankenship,16,18.8,56.3,18.8
Zach Pascal,16,6.3,18.8,68.8
Keelan Cole,16,0,31.3,62.5
Gabriel Davis,16,0,25,50
Rob Gronkowski,16,12.5,43.8,56.3
Hayden Hurst,16,0,56.3,37.5
Dalton Schultz,16,0,31.3,50
Antonio Brown,8,12.5,50,25
Noah Fant,15,13.3,26.7,33.3
Sam Darnold,12,0,16.7,75
Christian Kirk,14,7.1,35.7,50
Jeff Wilson Jr.,11,18.2,45.5,36.4
Latavius Murray,15,6.7,13.3,40
Andy Dalton,9,0,11.1,77.8
Julio Jones,9,11.1,66.7,33.3
Cam Akers,13,0,23.1,61.5
Hunter Henry,14,7.1,50,28.6
Justin Tucker,16,12.5,56.3,18.8
Ryan Succop,16,18.8,43.8,43.8
Taysom Hill,16,25,100,0
Jimmy Graham,16,18.8,31.3,56.3
Evan Engram,16,12.5,37.5,50
Darius Slayton,16,6.3,18.8,62.5
Eric Ebron,15,13.3,53.3,40
Tua Tagovailoa,9,0,11.1,55.6
Jonnu Smith,15,6.7,46.7,40
Rashard Higgins,13,0,23.1,46.2
Cairo Santos,16,12.5,43.8,37.5
Gus Edwards,16,0,18.8,43.8
Jamaal Williams,14,7.1,28.6,57.1
Jason Myers,16,0,68.8,25
Wayne Gallman,15,0,40,53.3
Brandon McManus,15,20,46.7,33.3
Josh Reynolds,16,0,18.8,56.3
Wil Lutz,16,12.5,50,43.8
Nick Mullens,9,0,0,62.5
Harrison Butker,16,6.3,37.5,25
Hunter Renfrow,16,0,12.5,75
Dak Prescott,5,40,60,20
Graham Gano,16,12.5,50,37.5
Jakobi Meyers,14,7.1,14.3,50
Ka'imi Fairbairn,16,6.3,50,25
Greg Ward,16,0,12.5,62.5
Darrell Henderson,15,6.7,26.7,53.3
Jared Cook,15,6.7,40,46.7
Joey Slye,16,12.5,50,25
Dustin Hopkins,16,6.3,50,37.5
Kendrick Bourne,15,0,13.3,60
Allen Lazard,10,10,20,60
Tre'Quan Smith,14,0,14.3,71.4
Jerick McKinnon,15,6.7,33.3,60
Tyler Higbee,15,6.7,26.7,66.7
George Kittle,8,25,37.5,12.5
Adrian Peterson,16,0,25,56.3
Nick Folk,16,12.5,43.8,43.8
Scotty Miller,16,0,12.5,68.8
Tony Pollard,16,6.3,18.8,62.5
David Moore,16,0,25,62.5
Michael Badgley,16,12.5,43.8,43.8
Mason Crosby,16,12.5,31.3,43.8
Stephen Gostkowski,15,13.3,33.3,46.7
Malcolm Brown,16,6.3,18.8,75
Matt Prater,16,18.8,31.3,50
James White,14,0,35.7,57.1
Dallas Goedert,11,18.2,27.3,54.5
Travis Fulgham,13,7.7,23.1,61.5
John Brown,9,0,55.6,44.4
Jalen Hurts,4,25,75,25
Anthony Miller,16,0,12.5,68.8
Damiere Byrd,16,6.3,6.3,68.8
Demarcus Robinson,16,0,6.3,56.3
Austin Hooper,13,0,46.2,46.2
Nick Foles,8,0,0,50
A.J. Green,16,0,25,62.5
Zack Moss,13,7.7,23.1,53.8
Cody Parkey,15,0,46.7,46.7
Rex Burkhead,10,20,30,50
Danny Amendola,14,0,21.4,71.4
Robbie Gould,15,6.7,33.3,40
Frank Gore,15,0,20,66.7
Raheem Mostert,8,12.5,50,25
Joe Mixon,6,16.7,50,16.7
Randy Bullock,12,0,58.3,41.7
Chris Boswell,13,0,38.5,38.5
Dan Arnold,16,0,6.3,81.3
Zane Gonzalez,12,16.7,33.3,50
Brian Hill,16,0,12.5,68.8
Irv Smith Jr.,13,15.4,30.8,61.5
Boston Scott,16,0,12.5,62.5
Gerald Everett,16,0,12.5,68.8
Kalen Ballage,11,9.1,27.3,54.5
Damien Harris,10,0,30,40
Christian McCaffrey,3,100,100,0
Dan Bailey,16,0,25,56.3
Duke Johnson Jr.,11,9.1,18.2,54.5
Alexander Mattison,13,7.7,15.4,76.9
Devontae Booker,16,0,12.5,81.3
Carlos Hyde,10,10,20,70
Joshua Kelley,14,0,0,64.3
Jordan Akins,13,0,7.7,69.2
Anthony Firkser,16,6.3,6.3,93.8
Trey Burton,13,0,23.1,61.5
Tyler Eifert,15,0,0,73.3
Mo Alie-Cox,15,0,13.3,80
Kyle Juszczyk,16,0,6.3,75
Dwayne Haskins,6,0,0,83.3
Drew Sample,16,0,0,75
Alex Smith,7,0,0,85.7
Chris Herndon,16,6.3,18.8,75
Darren Fells,16,0,12.5,81.3
Zach Ertz,11,0,9.1,81.8
Jake Elliott,16,0,6.3,81.3
Jordan Reed,10,0,20,60
Dawson Knox,12,0,16.7,83.3
Richard Rodgers,12,0,33.3,66.7
Jimmy Garoppolo,6,0,16.7,66.7
Cameron Brate,16,0,6.3,81.3
Mike Glennon,5,0,0,60
Kyle Rudolph,12,0,16.7,66.7
Jack Doyle,14,0,14.3,78.6
Matt Gay,7,0,85.7,0
Harrison Bryant,15,6.7,6.7,93.3
Samuel Sloman,8,0,12.5,50
Sam Ficken,9,11.1,22.2,66.7
