POS_RK,POS_TIERS,PLAYER NAME,TEAM,AVG_FAN PTS,AVG_PTS VS.,AVG_SACK,AVG_SAFE,AVG_INT,AVG_FUMR,AVG_DEF TD,AVG_BLK KICK,AVG_RET TD
1,1,BALTIMORE RAVENS,BAL,10.2,0.0,3.5,0.1,1.1,0.8,0.1,0.0,0.0
2,1,SAN FRANCISCO 49ERS,SF,8.3,0.0,2.8,0.1,1.3,0.4,0.1,0.0,0.0
3,1,NEW YORK JETS,NYJ,9.1,0.0,2.8,0.2,1.0,0.6,0.2,0.0,0.0
4,1,DALLAS COWBOYS,DAL,10.5,0.0,2.7,0.1,1.0,0.5,0.4,0.0,0.0
5,1,CLEVELAND BROWNS,CLE,9.0,0.0,2.9,0.0,1.1,0.6,0.2,0.0,0.0
6,2,PITTSBURGH STEELERS,PIT,8.4,0.0,2.8,0.1,0.9,0.6,0.1,0.0,0.0
7,2,KANSAS CITY CHIEFS,KC,7.9,0.0,3.4,0.0,0.5,0.5,0.1,0.0,0.0
8,3,BUFFALO BILLS,BUF,9.4,0.0,3.2,0.0,1.1,0.7,0.1,0.0,0.0
9,3,PHILADELPHIA EAGLES,PHI,5.9,0.0,2.5,0.1,0.5,0.5,0.2,0.0,0.0
10,3,HOUSTON TEXANS,HOU,7.7,0.0,2.7,0.0,0.8,0.6,0.1,0.0,0.0
11,3,MIAMI DOLPHINS,MIA,8.9,0.0,3.3,0.0,0.9,0.7,0.2,0.0,0.0
12,3,NEW ORLEANS SAINTS,NO,8.4,0.0,2.0,0.0,1.1,0.6,0.1,0.0,0.0
13,3,CHICAGO BEARS,CHI,7.1,0.0,1.8,0.0,1.3,0.4,0.1,0.0,0.0
14,4,INDIANAPOLIS COLTS,IND,8.2,0.0,3.0,0.1,0.9,0.5,0.2,0.0,0.0
15,4,MINNESOTA VIKINGS,MIN,7.3,0.0,2.5,0.0,0.6,0.6,0.1,0.0,0.0
16,4,DETROIT LIONS,DET,6.3,0.0,2.4,0.1,0.9,0.4,0.1,0.0,0.0
17,4,CINCINNATI BENGALS,CIN,6.9,0.0,2.6,0.0,1.0,0.5,0.1,0.0,0.0
18,4,JACKSONVILLE JAGUARS,JAC,7.1,0.0,2.4,0.0,0.9,0.6,0.1,0.0,0.0
19,4,DENVER BRONCOS,DEN,6.9,0.0,2.5,0.1,0.6,0.9,0.1,0.0,0.0
20,4,GREEN BAY PACKERS,GB,6.8,0.0,2.6,0.0,0.4,0.6,0.1,0.0,0.0
21,4,NEW ENGLAND PATRIOTS,NE,6.4,0.0,2.1,0.1,0.6,0.5,0.1,0.0,0.0
22,4,LAS VEGAS RAIDERS,LV,8.6,0.0,2.7,0.1,0.8,0.5,0.3,0.0,0.0
23,5,SEATTLE SEAHAWKS,SEA,6.4,0.0,2.8,0.0,0.6,0.5,0.2,0.0,0.0
24,5,TAMPA BAY BUCCANEERS,TB,7.8,0.0,2.8,0.1,0.8,0.7,0.1,0.0,0.0
25,5,NEW YORK GIANTS,NYG,7.7,0.0,2.0,0.0,1.1,0.8,0.2,0.0,0.0
26,5,LOS ANGELES RAMS,LAR,4.9,0.0,2.4,0.1,0.6,0.3,0.0,0.0,0.0
27,5,LOS ANGELES CHARGERS,LAC,6.6,0.0,2.8,0.0,0.5,0.7,0.0,0.0,0.0
28,5,CAROLINA PANTHERS,CAR,4.2,0.0,1.6,0.0,0.5,0.2,0.1,0.0,0.0
29,5,ATLANTA FALCONS,ATL,5.6,0.0,2.5,0.1,0.5,0.5,0.1,0.0,0.0
30,5,TENNESSEE TITANS,TEN,6.0,0.0,2.6,0.0,0.4,0.5,0.1,0.0,0.0
31,5,WASHINGTON COMMANDERS,WAS,3.8,0.0,2.3,0.0,0.5,0.6,0.0,0.0,0.0
32,5,ARIZONA CARDINALS,ARI,3.8,0.0,1.9,0.0,0.6,0.4,0.1,0.0,0.0
